auto,autos
duty,duties
dye,dyes
each,eaches
ear,ear
eclipse,eclipses
education,educations
effort,efforts
ego,egos
elementary,elementaries
elephant,elephants
elk,elks
ellipsis,ellipses
else,else
email,emails
embargo,embargoes
embassy,embassies
embolism,embolisms
embolus,emboli
embryo,embryos
emoji,emojis
employee,employees
energy,energies
entree,entrées
entry,entries
envelope,envelopes
equilibrium,equilibriums
equinox,equinoxes
equipment,equipment
era,eras
eraser,erasers
essay,essays
etiquette,etiquettes
euro,euros
every,every
evidence,evidences
example,examples
executive,executives
executrix,executrices
exodus,exoduses
experience,experiences
experiment,experiments
expert,experts
expertise,expertises
explanation,explanations
eye,eyes
eyeglasses,eyeglasses
eyelash,eyelashes
fabric,fabrics
face,faces
factory,factories
faculty,faculties
fairy,fairies
fan,fans
fantasy,fantasies
father,fathers
fawn,fawns
feedback,feedbacks
female,females
ferry,ferries
fiance,fiances
fiction,fictions
ficus,ficuses
finch,finches
fire,fires
first,firsts
flag,flags
flare,flares
flour,flours
flower,flowers
flu,flus
fly,flies
flyer,flyers
focus,foci
food,foods
foot,feet
foreman,foremen
forest,forests
fork,forks
formation,formations
formula,formulas
forum,forums
fossa,fossae
fowl,fowls
fox,foxes
franchise,franchises
french,french
fresco,frescos
freshman,freshmen
friday,fridays
fridge,fridges
friend,friends
fruit,fruits
fun,funs
furnace,furnaces
furniture,furnitures
galaxy,galaxies
gallery,galleries
gallows,gallowses
garage,garages
garden,gardens
garlic,garlics
gas,gases
gazelle,gazelles
gemi,geminis
genius,geniuses
gentleman,gentlemen
genus,genera
german,germans
ghost,ghosts
giraffe,giraffes
gladiolus,gladioli
glass,glasses
go,goes
goat,goats
god,gods
goddess,goddesses
gold,golds
goldfish,goldfish
good,goods
government,governments
graffito,graffiti
graffito,graffitos
grapefruit,grapefruits
grass,grasses
greenfly,greenflies
grief,griefs
grocery,groceries
group,groups
grouse,grouse
guaranty,guaranties
guest,guests
gymnasium,gymnasiums
gypsy,gypsies
gyrus,gyri
habitat,habitats
habitus,habitus
haddock,haddocks
hair,hairs
halibut,halibuts
hallux,halluces
hand,hands
handful,handfuls
handsome,handsome
hare,hares
hat,hats
head,heads
health,healths
hearse,hearses
helix,helices
hello,hellos
help,helps
hen,hens
hepatitis,hepatitides
herd,herds
hex,hexes
hickey,hickeys
hijab,hijabs
hilum,hila
history,histories
hobby,hobbies
hobo,hoboes
holiday,holidays
home,homes
homework,homework
homunculus,homunculi
honey,honeys
honorarium,honorariums
horse,horses
hose,hoses
host,hosts
hostess,hostesses
house,houses
hovercraft,hovercrafts
human,humans
hummus,hummuses
hut,huts
hyperbole,hyperboles
hypotenuse,hypotenuses
hypothesis,hypotheses
ibex,ibexes
ibis,ibises
ice,ices
idea,ideas
ides,ides
igloo,igloos
ignoramus,ignorami
ilium,ilia
illness,illnesses
impetus,impetuses
inca,incas
inch,inches
incidence,incidences
incident,incidents
industry,industries
information,informations
inoculum,inoculum
insignia,insignias
insurance,insurances
insured,insureds
intelligence,intelligences
itinerary,itineraries
jackfruit,jackfruits
jar,jeans
jeans,jeans
jedi,jedis
jellyfish,jellyfish
jersey,jerseys
jesus,jesuses
jetty,jetties
jewelry,jewelry
job,jobs
jockey,jockeys
jones,joneses
journey,journeys
juice,juices
jury,jurys
kangaroo,kangaroos
kata,katas
kidney,kidneys
kit,kits
kite,kites
kitty,Kitties
kiwi,kiwis
knicker,knickers
knife,knives
knowledge,knowledge
labia,labia
labor,labors
lamb,lambs
lamp,lamps
language,languages
laptop,laptops
lass,lasses
laughter,laughters
laundry,laundries
lavra,lavrae
lead,leads
leave,leaves
leg,legs
legendary,legendries
legislation,legislations
lemon,lemons
lens,lenses
letter,letters
levy,levies
library,libraries
libretto,librettos
lice,lice
license,licenses
lich,liches
lie,lies
life,lives
light,lights
lightning,lightnings
lily,lilies
lion,lions
lioness,lionesses
list,lists
liter,liters
literature,literatures
lives,lives
loaf,loaves
lobby,lobbyists
lobster,lobsters
locus,loci
locust,locusts
logo,logos
lopez,lopezes
lorry,lorries
loss,losses
lotus,lotuses
love,loves
lox,loxes
luggage,luggage
lullaby,lullabies
lumen,lumens
lunch,lunches
lynching,lynchings
lynx,lynxes
macula,maculae
macule,macules
mad,mads
madam,madams
mafia,mafias
mage,magi
magus,magi
maid,maidens
mail,mails
majesty,majesties
male,males
malleolus,malleoli
mammary,mammaries
man,men
manatee,manties
manga,mangas
manifesto,manifestoes
mantel,mantels
mantis,mantises
mantra,mantras
march,marches
market,markets
marquis,marquises
marriage,marriages
martini,martinis
mary,marys
mass,masses
massage,massages
masseuse,masseuses
mat,mats
match,matches
mate,mates
material,materials
math,maths
matrix,matrices
mattress,mattresses
max,maxes
maxilla,maxillae
maximum,maximums
maybe,maybes
mean,means
meat,meats
meatus,meatuses
media,medias
medici,medico
medicine,medicines
medium,mediums
megalopolis,megalopolises
melody,melodies
member,members
memento,mementoes
memo,memos
memorabilia,memorabilia
memorandum,memorandums
memory,memories
meniscus,menisci
mensch,menschen
menu,menus
mercedes,mercedes
merchandise,merchandises
mess,messes
messer,messers
metamorphosis,metamorphoses
metastasis,metastases
metropolis,metropolises
midwife,midwives
military,militaries
milk,milks
millennia,millenniums
million,millions
minimum,minima
mink,minks
mir,mirs
miscellaneous,miscellanea
mischief,mischiefs
misdiagnosis,misdiagnoses
miss,misses
missus,missuses
mister,mister’s
mitochondria,mitochondria
modulus,moduli
mom,moms
mommy,mommies
monday,mondays
money,money
mongoose,mongooses
monkey,monkey’s
monkfish,monkfish
monsieur,messieurs
month,months
moon,moons
moor,moors
moose,moose
moral,morals
morris,morrises
mosquito,mosquitoes
moss,mosses
moth,moths
mother,mothers
motif,motifs
motto,mottos
mouse,mice
mousse,mousses
mouth,mouths
mullet,mullets
mummy,mummies
muse,muses
museum,museums
music,music
mute,mutes
muter,muters
mutter,mutters
mystery,mysteries
mythos,mythoi
nail,nails
nailclipper,nailclippers
nanny,nannies
nautilus,nautiluses
navy,navies
nazi,Nazis
nebula,nebulae
neck,necks
necklace,necklaces
necropolis,necropolises
need,needs
negro,negros
neighbor,neighbors
nemesis,nemeses
nest,nests
neurosis,neuroses
new,new
nexus,nexuses
niche,niches
niece,nieces
night,nights
ninja,ninjas
no,noes
nobody,nobodies
noise,noises
noose,nooses
nose,noses
notebook,notebooks
novation,novations
nucleus,nuclei
nurse,nurses
nursery,nurseries
oasis,oases
octopus,octopuses
oculus,oculi
office,offices
offspring,offsprings
omnibus,omnibus
one,omnibuses
opossum,opossums
opus,opera
orange,oranges
orca,orcas
organization,organizations
orifice,orifices
osprey,ospreys
ostrich,ostriches
ovary,ovaries
ovum,ova
owl,owls
oxygen,oxygens
pair,pairs
pais,paises
pancreas,pancreases
panel,panels
pansy,pansies
pantry,pantries
pants,pants
paper,papers
papyrus,papyruses
paradox,paradoxes
parent,parents
parenthesis,parentheses
park,parks
pass,passes
passerby,passersby
passionfruit,passionfruits
patella,patellae
path,paths
patient,patients
patio,patios
peach,peaches
peacock,peacocks
peer,peers
pegasus,pegasi
pelvis,pelvises
pencil,pencils
pendulum,pendulums
people,People
pepperoni,pepperonis
percent,percents
perfume,perfumes
person,people
persona,personas
personnel,personnel
pet,pets
phallus,phalli
pharmacy,pharmacies
pharynx,pharynges
phd,phds
phenomenon,phenomena
phoenix,phoenixes
phone,phones
photograph,photographs
phylum,phyla
piccolo,piccolos
pierogi,pierogies
pig,pigs
pike,pikes
pillow,pillows
piranha,piranhas
pizza,pizzas
placenta,placentae
plankton,planktons
plant,plants
plate,plates
plateau,plateaus
platform,platforms
platypus,platypuses
play,plays
plea,pleas
pleura,pleurae
plexus,plexuses
pliers,pliers
plus,plusses
ply,plies
pneumothorax,pneumothoraces
podium,podiums
poetry,poetries
poinsettia,poinsettias
police,police
policy,policies
polis,poleis
politics,politics
poppy,poppies
porch,porches
porpoise,porpoises
portfolio,portfolios
posse,posses
possession,possessions
possum,possums
post,posts
poster,posters
pouch,pouches
poultry,poultries
power,powers
practice,practices
practicum,practicums
praxis,praxes
prayingmantis,prayingmantises
precis,précis
prefix,prefixes
premise,premises
premium,premiums
present,presents
press,presses
pretty,pretties
prey,preys
price,prices
priest,priests
prince,princes
princess,princesses
prix,prix
pro,pros
problem,problems
proboscis,proboscises
process,processes
prodigy,prodigies
proficiency,proficiencies
prognosis,prognoses
programme,programs
proof,proofs
property,properties
prophecy,prophecies
prospectus,prospectuses
prosthesis,prosthesess
protocol,protocols
protozoan,protozoa
proxy,proxies
psyche,psyches
psychosis,psychoses
pulley,pulleys
punctuation,punctuations
pupil,pupils
puppy,puppies
purpose,purposes
purse,purses
pus,puses
pussy,pussies
put,puts
puzzle,puzzles
quail,quails
quality,qualities
quantum,quanta
quartz,quartz
quay,quays
que,ques
queen,queens
questionnaire,questionnaires
quiche,quiches
quiz,quizzes
rabbi,rabbis
rabbit,rabbits
raccoon,raccoons
race,races
rad,rads
radio,radios
radish,radishes
radius,radiuses
rally,rallies
ranch,ramses
rat,rats
ratio,ratios
rationale,rationales
raven,ravens
ravioli,raviolis
read,reads
reality,realities
recipe,recipes
recommendation,recommendations
reef,reefs
reference,references
referendum,referendums
reflex,reflexes
refuge,refuges
regal,regale
regimen,regimens
reindeer,reindeer
rendezvous,rendezvous
reply,replies
request,requests
research,researches
residence,residences
resident,residents
restaurant,restaurants
resume,resumes
retina,retinas
rhinoceros,rhinoceroses
rho,rhombi
rhombus,rhombuses
rice,rice
river,rivers
rock,rocks
rolex,rolexes
ross,rosses
royal,royals
ruler,Rulers
rum,rums
runnerup,runnerups
sachet,sachets
safe,safes
sale,sales
salesman,salesmen
salmon,salmon
sand,sands
sandwich,sandwiches
sash,sashes
sasquatch,sasquatches
saturday,saturdays
sauce,sauces
say,says
scarf,scarves
scenario,scenarios
scenery,sceneries
schema,schemas
science,sciences
scientist,scientists
scissors,scissors
sclera,sclerae
score,scores
scratch,scratches
sea,seas
secretary,secretaries
see,sees
seed,seeds
senor,senores
septum,septa
series,series
serum,serums
service,services
sew,sews
sex,sexes
shaman,shamans
shambles,shambles
shampoo,shampoos
shark,sharks
she,shes
sheaf,sheaves
sheep,sheep
shelf,shelves
shellfish,shells
sheriff,sheriffs
shiny,shinies
ship,ships
shoe,shoes
shop,shops
shorts,shorts
shrimp,shrimps
shy,shies
signage,signages
signal,signals
silo,silos
simile,similes
simpatico,simpatici
singular,singulars
sinus,sinuses
sir,sirs
sissy,sissies
sister,sisters
sisterinlaw,sistersinlaw
six,sixes
ski,skis
sky,skies
sleep,sleeps
sloth,sloths
smile,smiles
smiley,smilies
smithereens,smithereens
socialmedia,socialmedia
society,societies
sock,socks
software,software
soil,soils
soliloquy,soliloquies
solo,solos
some,some
someone,someones
something,somethings
soninlaw,sons-in-law
soprano,sopranos
sorry,sorries
soul,souls
souvenir,souvenirs
spacecraft,spacecrafts
specimen,specimens
spectacle,spectacles
spectrum,spectrums
speech,speeches
sperm,sperms
spermatozoon,spermatozoa
spice,spices
spiegel,spiegels
splash,splashes
spoon,spoons
spoonful,spoonfuls
spouse,spouses
spy,Spies
squash,squashes
squid,squids
stadium,stadiums
staff,staffs
standby,standbys
star,stars
stare,stares
starfish,starfishes
starfruit,starfruits
stationery,stationeries
statue,statues
status,statuses
steer,steers
stegosaurus,stegosauri
stenosis,stenoses
stepson,stepsons
sternum,sternums
stigma,stigmas
stimulus,stimuli
stitch,stitches
stock,stocks
stoma,stomas
stomach,stomachs
stomata,stomas
stone,stones
story,stories
strata,stratas
stratum,stratums
strawberry,strawberries
strength,strengths
stress,stresses
strife,strifes
stromboli,strombolis
student,students
study,studies
stuff,stuffs
stylus,styli
subpoena,subpoenas
success,successes
succubus,succubi
sue,sues
suffix,suffixes
sugar,sugars
sulcus,sulci
summary,summaries
summons,summonses
superhero,superheros
supernova,supernovae
surgery,surgeries
surprise,surprises
survey,survey’s
suspense,suspenses
swan,swans
swine,swines
syllable,syllables
syllabus,syllabuses
symposium,symposiums
synapse,synapses
synopsis,synopses
syntax,syntaxes
synthesis,syntheses
table,tables
tableau,tableaus
tablet,tablets
taco,Tacos
tail,tails
taj,tajes
talent,talents
talisman,talismans
tallit,tallaisim
talus,tali
tardy,tardies
task,tasks
taste,tastes
tattoo,tattoos
taurus,tauruses
taxi,taxis
tea,teas
teacher,teachers
team,teams
teaspoonful,teaspoonfuls
technology,technologies
teddy,teddies
tee,tees
teenager,teenagers
teeth,teeth
teller,tellers.
temperature,temperatures.
tempo,tempos
tense,tenses.
terminus,terminuses
test,tests
testicle,testicles
testimony,testimonies
testis,testes
text,texts
thank,thanks
thankyou,thankyous
that,those
thermos,thermoses.
thesaurus,thesauri
thesis,theses
this,these
thomas,thomases
thorax,thoraxes
thou,thous
thousand,thousand
thrombus,thrombi
tibia,tibiae.
tie,ties
tiger,tigers.
time,times.
timpani,timpani
titmouse,titmice
toast,toasts
toe,toes
ton,tons
tongs,tongs
top,tops
topaz,topazes
tor,tors
torch,torches
tornado,tornados
torpedo,torpedoes
torso,torsi
tortoise,tortoises
torus,tori
touch,touches
toy,toys
trachea,tracheae
tragus,tragi
training,training
trapezius,trapezii
trash,trashs
trauma,traumata
travel,travels
tray,trays
treatise,treatises
treatment,treatments
trellis,trellises
trench,trenches
trolley,trolleys
trophy,trophies
trousers,trousers
trout,trout
truck,trucks
truth,truth
try,tries
tsunami,tsunamis
tuesday,tuesdays
tuna,tunas
tundra,tundras
turkey,turkeys
turnip,turnips
turtle,turtles
tux,tuxes
tv,tvs
tweezers,tweezers
two,twos
types,types
typo,typos
ulna,ulnas
ultimatum,ultimatums
umbrella,umbrellas
un,uns
uncle,uncles
underwear,underwear
uniform,uniforms
universe,universes
university,universities
up,ups
us,us
usage,usages
user,users
uterus,uteruses
vagina,vaginas
varix,varices
vase,vases
venacava,venaecavae
verbatim,verbatims
verruca,verrucae
vertebra,vertebrae
vertex,vertices
vestment,vestments
veto,vetoes
video,videos
vinyl,vinyl
virus,viruses
vita,vitae
vocabulary,vocabularies
volcano,volcanos
volume,volumes
vortex,vortexes
vulva,vulvae
waitress,waitresses
wallet,wallets
walrus,walruses
warranty,warranties
was,were
wash,washes
wasp,wasps
waste,wastes
watch,watches
water,waters
watermelon,watermelons
website,website
wednesday,wednesdays
were,weres
wharf,wharves
wheat,wheats
kiss,kisses
wish,wishes
boy,boys
guy,guys
party,parties
lady,ladies
city,cities
leaf,leaves
thief,thieves
wife,wives
tomato,tomatoes
potato,potatoes
echo,echoes
hero,heroes
woman,women
child,children
tooth,teeth
goose,geese
fish,fish
sheep,sheep
deer,deer
moose,moose
aircraft,aircraft
analysis,analyses
basis,bases
crisis,crises
cactus,cacti
fungus,fungi
stimulus,stimuli
syllabus,syllabi
addendum,addenda
aircraft,aircraft
alumna,alumnae
alumnus,alumni
analysis,analyses
antenna,antennae
antithesis,antitheses
apex,apices
appendix,appendices
axis,axes
bacillus,bacilli
bacterium,bacteria
basis,bases
beau,beaux
bison,bison
bureau,bureaux
cactus,cacti
château,châteaux
child,children
codex,codices
concerto,concerti
corpus,corpora
crisis,crises
criterion,criteria
curriculum,curricula
datum,data
diagnosis,diagnoses
die,dice
dwarf,dwarves
ellipsis,ellipses
erratum,errata
faux pas,faux pas
fez,fezzes
focus,foci
foot,feet
formula,formulae
fungus,fungi
genus,genera
goose,geese
graffito,graffiti
grouse,grouse
half,halves
hoof,hooves
hypothesis,hypotheses
index,indices
larva,larvae
libretto,libretti
loaf,loaves
locus,loci
louse,lice
man,men
matrix,matrices
medium,media
memorandum,memoranda
minutia,minutiae
moose,moose
mouse,mice
nebula,nebulae
nucleus,nuclei
oasis,oases
offspring,offspring
opus,opera
ovum,ova
ox,oxen
parenthesis,parentheses
phenomenon,phenomena
phylum,phyla
quiz,quizzes
radius,radiuses
referendum,referenda
salmon,salmon
scarf,scarves
self,selves
series,series
sheep,sheep
shrimp,shrimps
species,species
stimulus,stimuli
stratum,strata
swine,swine
syllabus,syllabi
symposium,symposia
synopsis,synopses
tableau,tableaux
thesis,theses
thief,thieves
tooth,teeth
trout,trout or trouts
tuna,tuna or tunas
vertebra,vertebrae
vertex,vertices
vita,vitae
vortex,vortices
wharf,wharves
wife,wives
wolf,wolves
woman,women
